""
"1",3,10,5,11,4,9,12,7,11,14,7,24,13,5,50,17,5,13,33,31,10,43,16,35,11,38,29,40,26,43,56,46,53,40,40,28,38
"2",7,15,5,1,6,6,9,6,10,7,11,14,8,10,25,17,37,18,21,16,23,44,28,29,17,27,22,23,37,13,47,25,43,47,37,60,74
"3",5,1,6,4,9,11,9,9,11,23,9,17,10,11,23,18,17,12,13,18,27,30,29,45,30,26,26,30,23,29,33,39,43,38,23,51,38
"4",22,1,14,6,9,13,13,15,7,13,19,17,10,17,7,11,29,20,19,17,21,22,25,36,45,28,31,34,24,34,48,33,44,31,36,27,58
"5",10,5,3,8,5,4,9,7,8,15,6,17,21,9,42,6,15,26,17,36,28,17,57,22,46,20,29,41,33,43,49,30,35,44,34,37,34
"6",5,2,11,7,5,6,7,8,13,23,6,16,11,20,20,18,36,12,28,22,11,23,21,19,16,45,41,30,30,33,30,38,22,31,34,46,35
"7",5,7,4,2,12,5,7,11,28,17,15,38,28,35,20,20,19,25,13,16,19,53,25,16,12,19,33,29,32,33,57,21,49,35,35,47,22
"8",4,6,5,10,11,3,6,20,29,14,19,19,17,18,5,23,10,17,28,29,20,12,34,39,24,31,44,49,33,25,24,27,39,68,43,30,13
"9",1,6,4,11,11,12,8,17,28,33,22,7,18,17,22,19,27,10,42,14,20,33,25,20,25,13,30,27,47,45,48,56,40,33,33,58,41
"10",1,1,1,1,6,7,8,13,13,11,16,16,12,22,17,17,12,16,32,19,30,25,33,32,30,18,19,37,44,38,24,27,45,38,23,39,48
"11",2,6,5,13,5,8,7,9,8,5,14,14,10,20,32,11,14,23,43,34,44,21,21,39,23,21,26,28,32,39,39,34,14,30,38,49,39
"12",5,5,6,7,20,10,6,18,10,36,11,4,18,33,8,33,19,24,30,13,13,33,29,34,22,38,27,34,19,39,35,69,20,38,39,17,20
"13",2,4,9,7,4,12,16,10,15,19,10,13,21,15,14,25,25,33,21,27,62,49,23,33,34,29,40,23,41,32,29,25,39,22,29,34,20
"14",2,2,9,6,5,10,14,6,8,12,12,15,33,17,11,14,18,11,11,29,14,27,24,27,20,23,25,26,39,15,27,36,56,30,49,38,34
"15",7,7,18,1,33,18,10,5,17,12,32,12,25,19,11,23,16,24,17,15,36,18,20,30,32,28,22,21,21,25,41,45,49,27,41,39,43
"16",10,15,9,7,12,8,17,7,14,4,22,26,12,26,37,18,21,34,18,30,14,21,38,22,36,19,32,30,42,51,55,31,29,40,59,31,64
"17",4,1,9,1,6,7,8,14,14,23,17,13,10,13,25,13,32,21,27,12,28,30,36,21,19,70,29,19,24,32,20,34,39,42,42,46,38
"18",5,3,1,8,16,16,13,4,8,13,20,18,9,14,10,25,15,18,28,23,28,20,18,46,27,28,42,49,31,37,61,59,26,45,30,36,54
"19",2,2,2,1,10,7,7,20,17,25,24,44,11,15,20,15,23,10,13,25,17,18,19,24,36,25,29,43,32,30,37,24,26,45,24,29,46
"20",5,4,27,8,5,8,9,5,15,7,21,13,8,18,49,21,10,16,21,26,18,32,40,57,32,28,30,40,43,28,47,46,43,29,27,56,49
"21",1,1,8,5,4,5,6,10,14,13,25,24,10,17,11,15,20,22,29,22,19,20,54,28,12,37,23,33,41,45,41,33,42,35,40,33,40
"22",1,4,5,2,17,5,9,12,9,13,12,17,19,16,13,31,13,13,14,15,29,26,23,24,13,30,22,50,24,32,46,37,46,44,46,44,67
"23",5,13,3,6,12,17,40,11,10,12,11,16,25,21,15,14,20,21,11,21,35,20,18,25,24,23,36,31,47,26,49,29,35,23,26,33,25
"24",5,6,2,8,10,14,16,24,9,28,9,21,18,12,27,20,31,27,20,45,28,18,23,28,38,41,22,16,25,27,30,29,24,47,39,33,24
"25",2,3,5,2,5,8,13,9,5,14,14,13,14,17,44,27,18,22,12,39,15,20,15,39,20,33,26,23,36,25,24,32,31,37,25,55,35
"26",3,3,12,9,5,4,5,15,11,16,5,15,23,15,14,18,29,13,23,51,20,26,31,26,20,41,50,30,43,49,35,61,37,33,33,54,47
"27",3,15,13,10,10,22,7,13,13,10,14,18,6,9,26,36,17,15,19,16,36,21,16,9,32,40,22,33,51,42,21,52,28,24,28,38,42
"28",1,2,2,4,13,9,10,6,11,7,13,18,10,7,13,12,20,25,24,12,16,28,17,18,33,20,22,31,21,43,35,19,36,43,26,29,42
"29",11,7,9,9,8,9,6,17,20,18,18,8,13,20,44,25,10,16,15,17,9,28,30,21,59,31,38,38,19,28,43,28,27,30,72,21,57
"30",2,1,6,3,14,5,11,6,10,10,3,15,8,20,7,15,13,21,31,14,27,24,13,31,21,19,47,33,19,66,35,35,50,36,56,54,30
"31",3,4,16,47,17,11,12,15,8,11,21,27,14,52,22,15,16,25,32,26,23,33,14,18,25,19,25,60,23,25,36,38,41,45,23,34,45
"32",4,6,2,7,10,3,16,12,2,10,13,41,11,23,19,19,13,26,36,36,24,22,11,27,31,21,21,21,30,40,43,37,33,28,43,31,48
"33",3,7,5,2,6,8,17,7,7,26,19,4,4,19,24,17,14,14,52,29,18,19,13,23,31,33,26,29,23,56,16,23,31,48,26,35,36
"34",10,2,1,2,5,7,8,8,13,27,15,9,14,14,28,24,21,18,20,28,13,27,12,16,22,30,31,30,26,37,46,33,31,44,41,25,40
"35",1,2,4,13,9,10,4,10,5,11,12,11,13,10,17,6,23,19,24,25,24,24,33,25,59,12,18,22,46,26,19,32,42,48,55,40,31
"36",2,3,6,2,5,14,7,9,14,8,2,16,16,26,21,24,24,24,23,19,30,21,21,21,33,20,27,26,26,20,31,17,27,31,33,44,54
"37",3,5,6,11,6,6,9,33,6,5,7,16,17,11,28,15,18,18,15,6,46,25,11,28,16,30,37,58,25,23,46,28,32,20,53,39,38
"38",4,15,1,7,7,8,7,17,12,6,19,9,16,17,19,29,25,29,49,31,25,19,29,27,30,30,48,35,35,33,49,22,23,37,30,37,49
"39",5,6,8,10,6,9,7,9,17,9,24,7,7,20,26,15,13,18,26,21,22,25,17,12,40,28,34,21,64,23,22,38,44,40,40,27,46
"40",5,3,2,9,5,14,8,8,6,10,16,24,15,24,10,28,19,20,16,19,18,18,40,22,30,15,32,37,39,52,53,31,51,48,38,33,52
"41",1,6,7,10,15,18,16,5,6,29,6,35,12,19,17,19,20,9,18,40,33,31,14,45,25,52,37,34,23,27,34,44,34,32,67,38,39
"42",8,6,13,10,4,11,10,10,12,8,10,20,10,15,18,17,21,13,26,14,22,30,19,23,41,45,36,28,25,25,47,37,26,30,47,44,37
"43",2,3,7,4,18,4,9,8,9,9,10,16,7,37,17,14,23,20,14,27,23,29,32,26,31,28,38,29,21,38,21,44,33,45,22,45,43
"44",3,5,4,17,6,6,8,7,9,16,14,15,10,16,15,27,8,15,24,17,24,23,17,36,31,28,22,27,33,52,31,44,33,41,35,34,60
"45",5,1,2,7,19,4,16,5,3,10,12,13,8,15,26,53,17,42,21,10,46,16,16,20,41,14,24,22,31,40,24,29,29,44,25,43,31
"46",2,1,5,8,4,6,15,13,10,16,24,28,7,30,19,28,19,15,32,25,20,25,20,26,39,39,36,23,28,29,35,40,70,43,22,20,62
"47",2,4,7,2,4,3,11,7,10,11,12,15,20,18,13,20,12,18,24,21,33,10,19,18,25,36,47,14,44,51,54,32,46,37,30,33,39
"48",1,1,5,10,7,9,10,14,8,10,19,12,17,13,16,23,14,19,15,18,43,29,25,23,15,18,51,22,28,26,36,38,25,31,32,36,51
"49",4,1,1,5,7,11,7,9,4,15,17,18,9,23,17,24,9,17,23,10,23,22,21,32,27,27,30,24,35,27,25,59,48,35,56,44,23
"50",1,3,1,1,13,7,16,11,6,3,15,7,19,17,14,12,13,6,29,25,18,38,22,33,43,37,27,34,38,44,35,26,33,33,68,37,44
"51",3,7,3,11,7,8,16,12,13,22,12,9,19,18,13,13,16,38,22,29,25,20,24,19,21,20,58,22,43,29,30,28,19,32,56,63,43
"52",4,3,12,8,6,10,31,14,12,17,5,7,21,24,21,15,29,16,25,10,39,22,20,27,19,26,31,29,70,29,41,19,35,37,42,24,41
